,datetimehourly,weathertype
215,12/11/16 22:00,1
216,12/11/16 23:00,1
217,12/12/16 0:00,1
218,12/12/16 1:00,1
219,12/12/16 2:00,1
220,12/12/16 3:00,1
221,12/12/16 4:00,1
222,12/12/16 5:00,1
223,12/12/16 6:00,1
224,12/12/16 7:00,1
225,12/12/16 8:00,1
226,12/12/16 9:00,1
227,12/12/16 10:00,1
228,12/12/16 11:00,1
229,12/12/16 12:00,1
230,12/12/16 13:00,1
231,12/12/16 14:00,1
232,12/12/16 15:00,1
233,12/12/16 16:00,1
234,12/12/16 17:00,1
235,12/12/16 18:00,1
236,12/12/16 19:00,1
237,12/12/16 20:00,1
238,12/12/16 21:00,1
239,12/12/16 22:00,1
240,12/12/16 23:00,1
241,12/13/16 0:00,1
242,12/13/16 1:00,1
243,12/13/16 2:00,1
244,12/13/16 3:00,1
245,12/13/16 4:00,1
246,12/13/16 5:00,1
247,12/13/16 6:00,1
248,12/13/16 7:00,1
249,12/13/16 8:00,1
250,12/13/16 9:00,1
251,12/13/16 10:00,1
252,12/13/16 11:00,1
253,12/13/16 12:00,1
254,12/13/16 13:00,1
255,12/13/16 14:00,1
256,12/13/16 15:00,1
257,12/13/16 16:00,1
258,12/13/16 17:00,1
259,12/13/16 18:00,1
260,12/13/16 19:00,1
261,12/13/16 20:00,1
262,12/13/16 21:00,1
263,12/13/16 22:00,1
264,12/13/16 23:00,1
265,12/14/16 0:00,1
266,12/14/16 1:00,1
267,12/14/16 2:00,1
268,12/14/16 3:00,1
269,12/14/16 4:00,1
270,12/14/16 5:00,1
271,12/14/16 6:00,1
272,12/14/16 7:00,1
273,12/14/16 8:00,1
274,12/14/16 9:00,1
275,12/14/16 10:00,1
276,12/14/16 11:00,1
277,12/14/16 12:00,1
278,12/14/16 13:00,1
279,12/14/16 14:00,1
280,12/14/16 15:00,1
281,12/14/16 16:00,1
282,12/14/16 17:00,1
283,12/14/16 18:00,1
284,12/14/16 19:00,1
285,12/14/16 20:00,1
286,12/14/16 21:00,1
287,12/14/16 22:00,1
288,12/14/16 23:00,1
289,12/15/16 0:00,1
290,12/15/16 1:00,1
291,12/15/16 2:00,1
292,12/15/16 3:00,1
293,12/15/16 4:00,1
294,12/15/16 5:00,1
295,12/15/16 6:00,1
296,12/15/16 7:00,1
297,12/15/16 8:00,1
298,12/15/16 9:00,1
299,12/15/16 10:00,1
300,12/15/16 11:00,1
301,12/15/16 12:00,1
302,12/15/16 13:00,1
303,12/15/16 14:00,1
304,12/15/16 15:00,1
305,12/15/16 16:00,1
306,12/15/16 17:00,1
307,12/15/16 18:00,1
308,12/15/16 19:00,1
309,12/15/16 20:00,1
310,12/15/16 21:00,1
311,12/15/16 22:00,1
312,12/15/16 23:00,1
313,12/16/16 0:00,1
314,12/16/16 1:00,1
315,12/16/16 2:00,1
316,12/16/16 3:00,1
317,12/16/16 4:00,1
318,12/16/16 5:00,1
319,12/16/16 6:00,1
320,12/16/16 7:00,1
321,12/16/16 8:00,1
322,12/16/16 9:00,1
323,12/16/16 10:00,1
324,12/16/16 11:00,1
325,12/16/16 12:00,1
326,12/16/16 13:00,1
327,12/16/16 14:00,1
328,12/16/16 15:00,1
329,12/16/16 16:00,1
330,12/16/16 17:00,1
331,12/16/16 18:00,1
332,12/16/16 19:00,1
333,12/16/16 20:00,1
334,12/16/16 21:00,1
335,12/16/16 22:00,1
336,12/16/16 23:00,1
337,12/17/16 0:00,1
338,12/17/16 1:00,1
339,12/17/16 2:00,1
340,12/17/16 3:00,1
341,12/17/16 4:00,1
342,12/17/16 5:00,1
343,12/17/16 6:00,1
344,12/17/16 7:00,1
345,12/17/16 8:00,1
346,12/17/16 9:00,1
347,12/17/16 10:00,1
348,12/17/16 11:00,1
349,12/17/16 12:00,1
350,12/17/16 13:00,1
