,datetimehourly,totalsales,quantity,newcustomer,returningcustomer,queueline
143,12/8/16 22:00,0,0,0,0,0
144,12/8/16 23:00,0,0,0,0,0
145,12/9/16 0:00,0,0,0,0,0
146,12/9/16 1:00,0,0,0,0,0
147,12/9/16 2:00,0,0,0,0,0
148,12/9/16 3:00,0,0,0,0,0
149,12/9/16 4:00,0,0,0,0,0
150,12/9/16 5:00,0,0,0,0,0
151,12/9/16 6:00,39.77,2.653,0,1,1
152,12/9/16 7:00,23.41,1.562,1,0,1
153,12/9/16 8:00,0,0,0,0,0
154,12/9/16 9:00,0,0,0,0,0
155,12/9/16 10:00,0,0,0,0,0
156,12/9/16 11:00,0,0,0,0,0
157,12/9/16 12:00,105.14,7.014,0,2,2
158,12/9/16 13:00,61.44,4.099,0,1,1
159,12/9/16 14:00,27.43,1.83,0,1,1
160,12/9/16 15:00,0,0,0,0,0
161,12/9/16 16:00,56.74,3.785,0,1,1
162,12/9/16 17:00,0,0,0,0,0
163,12/9/16 18:00,59.57,3.974,0,1,1
164,12/9/16 19:00,110.78,7.39,0,2,2
165,12/9/16 20:00,30.88,2.06,0,1,1
166,12/9/16 21:00,0,0,0,0,0
167,12/9/16 22:00,0,0,0,0,0
168,12/9/16 23:00,0,0,0,0,0
169,12/10/16 0:00,0,0,0,0,0
170,12/10/16 1:00,0,0,0,0,0
171,12/10/16 2:00,0,0,0,0,0
172,12/10/16 3:00,0,0,0,0,0
173,12/10/16 4:00,0,0,0,0,0
174,12/10/16 5:00,0,0,0,0,0
175,12/10/16 6:00,0,0,0,0,0
176,12/10/16 7:00,0,0,0,0,0
177,12/10/16 8:00,59.63,3.978,0,1,1
178,12/10/16 9:00,0,0,0,0,0
179,12/10/16 10:00,0,0,0,0,0
180,12/10/16 11:00,0,0,0,0,0
181,12/10/16 12:00,63.42,4.231,0,1,1
182,12/10/16 13:00,215.69,14.389,1,3,4
183,12/10/16 14:00,70.96,4.734,1,1,2
184,12/10/16 15:00,116.7,7.785,0,2,2
185,12/10/16 16:00,57.07,3.807,0,1,1
186,12/10/16 17:00,0,0,0,0,0
187,12/10/16 18:00,0,0,0,0,0
188,12/10/16 19:00,0,0,0,0,0
189,12/10/16 20:00,98.78,6.59,0,2,2
190,12/10/16 21:00,0,0,0,0,0
191,12/10/16 22:00,0,0,0,0,0
192,12/10/16 23:00,0,0,0,0,0
193,12/11/16 0:00,0,0,0,0,0
194,12/11/16 1:00,0,0,0,0,0
195,12/11/16 2:00,0,0,0,0,0
196,12/11/16 3:00,0,0,0,0,0
197,12/11/16 4:00,0,0,0,0,0
198,12/11/16 5:00,0,0,0,0,0
199,12/11/16 6:00,0,0,0,0,0
200,12/11/16 7:00,0,0,0,0,0
201,12/11/16 8:00,0,0,0,0,0
202,12/11/16 9:00,52.35,3.492,0,1,1
203,12/11/16 10:00,0,0,0,0,0
204,12/11/16 11:00,138.54,9.242,1,2,3
205,12/11/16 12:00,0,0,0,0,0
206,12/11/16 13:00,45.06,3.006,0,1,1
207,12/11/16 14:00,0,0,0,0,0
208,12/11/16 15:00,0,0,0,0,0
209,12/11/16 16:00,0,0,0,0,0
210,12/11/16 17:00,63.96,4.267,0,1,1
211,12/11/16 18:00,0,0,0,0,0
212,12/11/16 19:00,0,0,0,0,0
213,12/11/16 20:00,100.43,6.7,0,2,2
214,12/11/16 21:00,0,0,0,0,0
215,12/11/16 22:00,46.09,3.075,0,1,1
216,12/11/16 23:00,0,0,0,0,0
217,12/12/16 0:00,0,0,0,0,0
218,12/12/16 1:00,0,0,0,0,0
219,12/12/16 2:00,0,0,0,0,0
220,12/12/16 3:00,0,0,0,0,0
221,12/12/16 4:00,0,0,0,0,0
222,12/12/16 5:00,0,0,0,0,0
223,12/12/16 6:00,0,0,0,0,0
224,12/12/16 7:00,0,0,0,0,0
225,12/12/16 8:00,46.2,3.082,0,1,1
226,12/12/16 9:00,69.82,4.658,0,1,1
227,12/12/16 10:00,0,0,0,0,0
228,12/12/16 11:00,14.24,0.95,0,1,1
229,12/12/16 12:00,0,0,0,0,0
230,12/12/16 13:00,72.97,4.868,0,2,2
231,12/12/16 14:00,101.94,6.8,0,2,2
232,12/12/16 15:00,0,0,0,0,0
233,12/12/16 16:00,0,0,0,0,0
234,12/12/16 17:00,92.1,6.144,0,2,2
235,12/12/16 18:00,0,0,0,0,0
236,12/12/16 19:00,65.52,4.371,0,1,1
237,12/12/16 20:00,0,0,0,0,0
238,12/12/16 21:00,0,0,0,0,0
239,12/12/16 22:00,0,0,0,0,0
240,12/12/16 23:00,0,0,0,0,0
241,12/13/16 0:00,28.44,1.897,0,1,1
242,12/13/16 1:00,0,0,0,0,0
243,12/13/16 2:00,0,0,0,0,0
244,12/13/16 3:00,0,0,0,0,0
245,12/13/16 4:00,0,0,0,0,0
246,12/13/16 5:00,0,0,0,0,0
247,12/13/16 6:00,33.41,2.229,0,1,1
248,12/13/16 7:00,0,0,0,0,0
249,12/13/16 8:00,67.53,4.505,0,1,1
250,12/13/16 9:00,0,0,0,0,0
251,12/13/16 10:00,0,0,0,0,0
252,12/13/16 11:00,56.21,3.75,0,1,1
253,12/13/16 12:00,65.87,4.394,1,0,1
254,12/13/16 13:00,95,6.337,1,1,2
255,12/13/16 14:00,0,0,0,0,0
256,12/13/16 15:00,101.87,6.796,0,2,2
257,12/13/16 16:00,0,0,0,0,0
258,12/13/16 17:00,56.23,3.751,0,1,1
259,12/13/16 18:00,0,0,0,0,0
260,12/13/16 19:00,0,0,0,0,0
261,12/13/16 20:00,0,0,0,0,0
262,12/13/16 21:00,0,0,0,0,0
263,12/13/16 22:00,49.83,3.324,0,1,1
264,12/13/16 23:00,0,0,0,0,0
265,12/14/16 0:00,27.46,1.832,0,1,1
266,12/14/16 1:00,0,0,0,0,0
267,12/14/16 2:00,34.72,2.316,1,0,1
268,12/14/16 3:00,0,0,0,0,0
269,12/14/16 4:00,0,0,0,0,0
270,12/14/16 5:00,0,0,0,0,0
271,12/14/16 6:00,0,0,0,0,0
272,12/14/16 7:00,0,0,0,0,0
273,12/14/16 8:00,60.77,4.054,0,1,1
274,12/14/16 9:00,0,0,0,0,0
275,12/14/16 10:00,0,0,0,0,0
276,12/14/16 11:00,101.99,6.804,0,2,2
277,12/14/16 12:00,53.27,3.554,0,1,1
278,12/14/16 13:00,0,0,0,0,0
279,12/14/16 14:00,60.59,4.042,0,1,1
280,12/14/16 15:00,0,0,0,0,0
281,12/14/16 16:00,56.11,3.743,0,1,1
282,12/14/16 17:00,64.85,4.326,0,1,1
283,12/14/16 18:00,43.91,2.929,0,1,1
284,12/14/16 19:00,57.61,3.843,0,1,1
285,12/14/16 20:00,0,0,0,0,0
286,12/14/16 21:00,0,0,0,0,0
287,12/14/16 22:00,0,0,0,0,0
288,12/14/16 23:00,0,0,0,0,0
289,12/15/16 0:00,0,0,0,0,0
290,12/15/16 1:00,0,0,0,0,0
291,12/15/16 2:00,0,0,0,0,0
292,12/15/16 3:00,0,0,0,0,0
293,12/15/16 4:00,0,0,0,0,0
294,12/15/16 5:00,0,0,0,0,0
295,12/15/16 6:00,29.98,2,0,1,1
296,12/15/16 7:00,0,0,0,0,0
297,12/15/16 8:00,0,0,0,0,0
298,12/15/16 9:00,61.71,4.117,0,1,1
299,12/15/16 10:00,0,0,0,0,0
300,12/15/16 11:00,43.71,2.916,1,0,1
301,12/15/16 12:00,45.54,3.038,0,1,1
302,12/15/16 13:00,74.99,5.003,0,1,1
303,12/15/16 14:00,0,0,0,0,0
304,12/15/16 15:00,0,0,0,0,0
305,12/15/16 16:00,0,0,0,0,0
306,12/15/16 17:00,54.34,3.625,0,1,1
307,12/15/16 18:00,84.06,5.608,0,2,2
308,12/15/16 19:00,0,0,0,0,0
309,12/15/16 20:00,0,0,0,0,0
310,12/15/16 21:00,0,0,0,0,0
311,12/15/16 22:00,0,0,0,0,0
312,12/15/16 23:00,0,0,0,0,0
313,12/16/16 0:00,0,0,0,0,0
314,12/16/16 1:00,0,0,0,0,0
315,12/16/16 2:00,0,0,0,0,0
316,12/16/16 3:00,0,0,0,0,0
317,12/16/16 4:00,0,0,0,0,0
318,12/16/16 5:00,0,0,0,0,0
319,12/16/16 6:00,0,0,0,0,0
320,12/16/16 7:00,0,0,0,0,0
321,12/16/16 8:00,0,0,0,0,0
322,12/16/16 9:00,0,0,0,0,0
323,12/16/16 10:00,0,0,0,0,0
324,12/16/16 11:00,90.12,6.012,0,2,2
325,12/16/16 12:00,35.14,2.344,0,1,1
326,12/16/16 13:00,0,0,0,0,0
327,12/16/16 14:00,62.07,4.141,0,1,1
328,12/16/16 15:00,0,0,0,0,0
329,12/16/16 16:00,0,0,0,0,0
330,12/16/16 17:00,0,0,0,0,0
331,12/16/16 18:00,52.18,3.481,0,1,1
332,12/16/16 19:00,0,0,0,0,0
333,12/16/16 20:00,74.32,4.958,1,0,1
334,12/16/16 21:00,61.29,4.089,0,1,1
335,12/16/16 22:00,0,0,0,0,0
