"","datetimehour","pt100_h2","pt11_h2","pt200_pressure","pt250_pressure","pt930_left","pt931_right","asDate","day_col","month_col","year_col","second_col","min_col","hour_col"
"33","30/04/2017 18:40:00 ",108.9409713745,108.211807251,443.6487121582,837.7459716797,94.7152786255,40.8888893127,2017-04-30 18:40:00,30,4,2017,0,40,18
"34","30/04/2017 18:30:00 ",108.9409713745,108.211807251,458.6950378418,849.3200073242,94.7152786255,41.1284713745,2017-04-30 18:30:00,30,4,2017,0,30,18
"35","30/04/2017 18:20:00 ",108.9409713745,108.211807251,458.984375,849.3200073242,94.795135498,41.2083320618,2017-04-30 18:20:00,30,4,2017,0,20,18
"36","30/04/2017 18:10:00 ",110.460067749,109.8090286255,454.6441040039,848.7413330078,94.954864502,41.4479179382,2017-04-30 18:10:00,30,4,2017,0,10,18
"37","30/04/2017 18:00:00 ",112.991897583,114.600692749,440.4658508301,848.451965332,95.0347213745,41.6076393127,2017-04-30 18:00:00,30,4,2017,0,0,18
"38","30/04/2017 17:50:00 ",120.008682251,119.1927108765,426.8663330078,848.1625976562,95.1145858765,41.6875,2017-04-30 17:50:00,30,4,2017,0,50,17
"39","30/04/2017 17:40:00 ",124.782989502,123.984375,412.9774169922,847.8732910156,95.1145858765,41.8472213745,2017-04-30 17:40:00,30,4,2017,0,40,17
"40","30/04/2017 17:30:00 ",127.6041641235,128.975692749,398.7991943359,847.8732910156,95.1145858765,41.9270820618,2017-04-30 17:30:00,30,4,2017,0,30,17
"41","30/04/2017 17:20:00 ",134.548614502,133.767364502,378.2552185059,851.6348266602,95.1145858765,42.006942749,2017-04-30 17:20:00,30,4,2017,0,20,17
"42","30/04/2017 17:10:00 ",137.586807251,136.961807251,422.5260314941,846.4265136719,95.0347213745,42.3263893127,2017-04-30 17:10:00,30,4,2017,0,10,17
"43","30/04/2017 17:00:00 ",137.586807251,136.7621459961,463.0353088379,853.9496459961,95.194442749,42.4861106873,2017-04-30 17:00:00,30,4,2017,0,0,17
"44","30/04/2017 16:50:00 ",137.4421234131,136.7621459961,462.4566040039,860.0260620117,95.194442749,42.6458320618,2017-04-30 16:50:00,30,4,2017,0,50,16
"45","30/04/2017 16:40:00 ",137.3697967529,136.7621459961,462.4566040039,859.7366943359,95.194442749,42.725692749,2017-04-30 16:40:00,30,4,2017,0,40,16
"46","30/04/2017 16:30:00 ",137.225112915,136.5625,462.1672363281,858.8686523438,95.194442749,42.8854179382,2017-04-30 16:30:00,30,4,2017,0,30,16
"47","30/04/2017 16:20:00 ",137.1527709961,136.5625,462.1672363281,858.579284668,95.194442749,42.8854179382,2017-04-30 16:20:00,30,4,2017,0,20,16
"48","30/04/2017 16:10:00 ",137.0804443359,136.163192749,461.8778991699,858.2899169922,95.4340286255,43.0451393127,2017-04-30 16:10:00,30,4,2017,0,10,16
"49","30/04/2017 16:00:00 ",136.8634185791,136.163192749,461.5885314941,858.0005493164,95.4340286255,43.125,2017-04-30 16:00:00,30,4,2017,0,0,16
"50","30/04/2017 15:50:00 ",136.7910919189,135.9635467529,461.0098266602,857.421875,95.194442749,43.2048606873,2017-04-30 15:50:00,30,4,2017,0,50,15
"51","30/04/2017 15:40:00 ",136.6464080811,135.9635467529,460.720489502,857.1325073242,95.3541641235,43.2048606873,2017-04-30 15:40:00,30,4,2017,0,40,15
"52","30/04/2017 15:30:00 ",136.429397583,135.763885498,460.141784668,857.1325073242,95.1145858765,43.2847213745,2017-04-30 15:30:00,30,4,2017,0,30,15
"53","30/04/2017 15:20:00 ",136.2847290039,135.564239502,459.563079834,856.5538330078,95.1145858765,43.444442749,2017-04-30 15:20:00,30,4,2017,0,20,15
"54","30/04/2017 15:10:00 ",136.0677032471,135.164932251,459.563079834,855.9750976562,95.1145858765,43.444442749,2017-04-30 15:10:00,30,4,2017,0,10,15
"55","30/04/2017 15:00:00 ",135.7783508301,134.9652709961,459.2737121582,855.6857910156,95.194442749,43.524307251,2017-04-30 15:00:00,30,4,2017,0,0,15
"56","30/04/2017 14:50:00 ",135.923034668,137.560760498,450.8825378418,855.3964233398,95.3541641235,43.6041679382,2017-04-30 14:50:00,30,4,2017,0,50,14
"57","30/04/2017 14:40:00 ",139.539932251,141.953125,436.4149169922,855.1070556641,95.0347213745,43.6041679382,2017-04-30 14:40:00,30,4,2017,0,40,14
"58","30/04/2017 14:30:00 ",143.2291717529,146.7447967529,423.1047363281,857.421875,95.0347213745,43.6840286255,2017-04-30 14:30:00,30,4,2017,0,30,14
"59","30/04/2017 14:20:00 ",151.9820556641,151.5364532471,419.921875,853.9496459961,94.954864502,43.84375,2017-04-30 14:20:00,30,4,2017,0,20,14
"60","30/04/2017 14:10:00 ",155.3096008301,156.5277709961,417.3177185059,847.8732910156,95.0347213745,44.0034713745,2017-04-30 14:10:00,30,4,2017,0,10,14
"61","30/04/2017 14:00:00 ",156.25,156.1284790039,451.750579834,847.2945556641,94.795135498,44.0833320618,2017-04-30 14:00:00,30,4,2017,0,0,14
"62","30/04/2017 13:50:00 ",156.3946685791,155.928817749,451.4612121582,847.0051879883,94.7152786255,44.243057251,2017-04-30 13:50:00,30,4,2017,0,50,13
"63","30/04/2017 13:40:00 ",156.25,155.7291717529,450.593170166,847.0051879883,94.6354141235,44.243057251,2017-04-30 13:40:00,30,4,2017,0,40,13
"64","30/04/2017 13:30:00 ",156.032989502,155.1302032471,450.3038330078,846.4265136719,94.7152786255,44.3229179382,2017-04-30 13:30:00,30,4,2017,0,30,13
"65","30/04/2017 13:20:00 ",155.8159790039,154.930557251,449.435760498,846.4265136719,94.555557251,44.3229179382,2017-04-30 13:20:00,30,4,2017,0,20,13
"66","30/04/2017 13:10:00 ",155.454284668,154.7308959961,448.5677185059,846.4265136719,94.555557251,44.4027786255,2017-04-30 13:10:00,30,4,2017,0,10,13
"67","30/04/2017 13:00:00 ",155.164932251,154.53125,461.8778991699,839.4820556641,94.3159713745,44.4826393127,2017-04-30 13:00:00,30,4,2017,0,0,13
"68","30/04/2017 12:50:00 ",154.875579834,154.131942749,461.5885314941,839.1926879883,94.236114502,44.4826393127,2017-04-30 12:50:00,30,4,2017,0,50,12
"69","30/04/2017 12:40:00 ",154.586227417,153.9322967529,460.720489502,838.6140136719,93.9965286255,44.4826393127,2017-04-30 12:40:00,30,4,2017,0,40,12
"70","30/04/2017 12:30:00 ",154.3692169189,153.732635498,460.4311218262,838.3246459961,93.9965286255,44.4826393127,2017-04-30 12:30:00,30,4,2017,0,30,12
"71","30/04/2017 12:20:00 ",154.1522064209,153.532989502,459.563079834,838.0352783203,93.9166641235,44.4826393127,2017-04-30 12:20:00,30,4,2017,0,20,12
"72","30/04/2017 12:10:00 ",153.8628540039,153.133682251,459.563079834,838.0352783203,93.836807251,44.4826393127,2017-04-30 12:10:00,30,4,2017,0,10,12
"73","30/04/2017 12:00:00 ",153.790512085,152.9340209961,459.2737121582,838.0352783203,93.836807251,44.4027786255,2017-04-30 12:00:00,30,4,2017,0,0,12
"74","30/04/2017 11:50:00 ",142.288772583,141.553817749,458.984375,838.0352783203,93.517364502,44.243057251,2017-04-30 11:50:00,30,4,2017,0,50,11
"75","30/04/2017 11:40:00 ",131.727432251,130.9722290039,459.2737121582,837.7459716797,93.357635498,44.0833320618,2017-04-30 11:40:00,30,4,2017,0,40,11
"76","30/04/2017 11:30:00 ",132.7401580811,131.970489502,455.2228088379,837.7459716797,93.038192749,44.0034713745,2017-04-30 11:30:00,30,4,2017,0,30,11
"77","30/04/2017 11:20:00 ",137.4421234131,136.5625,441.3339233398,837.1672363281,92.798614502,43.9236106873,2017-04-30 11:20:00,30,4,2017,0,20,11
"78","30/04/2017 11:10:00 ",138.961227417,141.154510498,428.313079834,837.7459716797,92.5590286255,43.84375,2017-04-30 11:10:00,30,4,2017,0,10,11
"79","30/04/2017 11:00:00 ",146.773727417,145.946182251,412.3987121582,836.8778686523,92.2395858765,43.84375,2017-04-30 11:00:00,30,4,2017,0,0,11
"80","30/04/2017 10:50:00 ",151.475692749,150.7378540039,395.326965332,846.7158813477,91.920135498,43.84375,2017-04-30 10:50:00,30,4,2017,0,50,10
"81","30/04/2017 10:40:00 ",156.1776580811,155.1302032471,447.1209411621,825.3038330078,91.600692749,43.9236106873,2017-04-30 10:40:00,30,4,2017,0,40,10
"82","30/04/2017 10:30:00 ",155.8883056641,155.1302032471,446.2528991699,836.5885620117,91.201385498,44.0034713745,2017-04-30 10:30:00,30,4,2017,0,30,10
"83","30/04/2017 10:20:00 ",155.5266265869,155.1302032471,446.2528991699,836.8778686523,91.0416641235,44.0034713745,2017-04-30 10:20:00,30,4,2017,0,20,10
"84","30/04/2017 10:10:00 ",156.032989502,155.1302032471,446.2528991699,836.8778686523,90.8020858765,44.0833320618,2017-04-30 10:10:00,30,4,2017,0,10,10
"85","30/04/2017 10:00:00 ",154.007522583,153.133682251,446.2528991699,837.1672363281,90.642364502,44.243057251,2017-04-30 10:00:00,30,4,2017,0,0,10
"86","30/04/2017 09:50:00 ",153.8628540039,153.133682251,446.2528991699,836.8778686523,90.3229141235,44.3229179382,2017-04-30 09:50:00,30,4,2017,0,50,9
"87","30/04/2017 09:40:00 ",153.790512085,153.133682251,446.5422363281,837.1672363281,90.243057251,44.4027786255,2017-04-30 09:40:00,30,4,2017,0,40,9
"88","30/04/2017 09:30:00 ",153.790512085,152.9340209961,446.5422363281,837.7459716797,89.923614502,44.4826393127,2017-04-30 09:30:00,30,4,2017,0,30,9
"89","30/04/2017 09:20:00 ",153.790512085,152.9340209961,446.5422363281,837.7459716797,89.6041641235,44.6423606873,2017-04-30 09:20:00,30,4,2017,0,20,9
"90","30/04/2017 09:10:00 ",153.8628540039,153.133682251,447.1209411621,838.0352783203,89.524307251,44.7222213745,2017-04-30 09:10:00,30,4,2017,0,10,9
"91","30/04/2017 09:00:00 ",153.8628540039,153.133682251,447.4103088379,838.3246459961,89.3645858765,44.8020820618,2017-04-30 09:00:00,30,4,2017,0,0,9
"92","30/04/2017 08:50:00 ",154.007522583,153.133682251,447.4103088379,838.6140136719,89.125,44.881942749,2017-04-30 08:50:00,30,4,2017,0,50,8
